dataset,model,cfgid,test_rmse,test_mae,test_r2,test_accuracy,test_f1,params,train_time_s,inference_ms_per_batch,checkpoint_mb,detection,epochs
india,cnn_bilstm,s24_h128,35.0194,25.7616,0.9137,0.6204,0.6163,269447,6.85,10.612,1.09,none,5
india,transformer_lstm,s7_h128,35.3932,25.9713,0.9091,0.627,0.6219,547335,7.6,6.775,2.24,none,5
india,lstm_cnn,s7_h32,35.751,26.1727,0.9072,0.5595,0.5409,35079,1.73,2.248,0.15,none,5
india,transformer_lstm,s24_h128,37.0668,27.8462,0.9033,0.6431,0.6423,547335,23.7,16.578,2.25,none,5
india,lstm_attention,s7_h128,38.6944,27.7721,0.8913,0.6514,0.6509,224807,2.57,2.185,0.91,none,5
india,convlstm_attention,s7_h128,39.0453,28.7085,0.8894,0.6243,0.6201,363399,4.27,4.404,1.47,none,5
india,lstm_cnn,s24_h32,39.4459,28.319,0.8904,0.4646,0.4118,35079,2.15,2.762,0.15,none,5
india,cnn_bilstm,s7_h128,39.748,29.3438,0.8853,0.6514,0.6447,269447,4.18,3.117,1.09,none,5
india,cnn_bilstm,s24_h32,41.0214,29.2827,0.8815,0.5297,0.5121,18215,2.24,2.878,0.09,none,5
india,lstm_cnn,s24_h128,42.4097,32.8155,0.8734,0.5212,0.4903,533511,10.21,12.526,2.15,none,5
india,cnn_bilstm,s7_h32,43.7645,31.4671,0.861,0.6135,0.6082,18215,3.17,2.125,0.09,none,5
india,transformer_lstm,s7_h32,44.427,33.6335,0.8568,0.4784,0.4395,35463,2.74,1.432,0.17,none,5
india,convlstm_attention,s7_h32,45.9912,32.6403,0.8465,0.5108,0.4784,34887,3.2,1.436,0.16,none,5
india,lstm_cnn,s7_h128,47.1048,34.591,0.839,0.5757,0.5598,533511,5.05,4.539,2.15,none,5
india,transformer_lstm,s24_h32,49.3228,38.1455,0.8287,0.4561,0.4084,35463,6.91,4.023,0.17,none,5
india,lstm_attention,s7_h32,61.469,44.1644,0.7258,0.4027,0.3377,16295,1.32,0.775,0.07,none,5
india,convlstm_attention,s24_h128,72.4875,54.2134,0.63,0.3711,0.2914,363399,8.54,9.862,1.47,none,5
india,lstm_attention,s24_h128,74.1785,54.023,0.6126,0.3598,0.3036,224807,6.17,7.807,0.91,none,5
india,lstm_attention,s24_h32,78.3182,56.6845,0.5681,0.3428,0.2501,16295,1.83,1.85,0.07,none,5
india,convlstm_attention,s24_h32,78.6365,58.6191,0.5646,0.3399,0.2636,34887,3.78,3.831,0.16,none,5
uci,transformer_lstm,s24_h128,0.6845,0.5245,0.766,0.6901,0.6903,547589,6.95,12.368,2.25,none,5
uci,cnn_bilstm,s24_h128,0.7975,0.5746,0.6823,0.5915,0.5116,270725,2.02,8.194,1.1,none,5
uci,cnn_bilstm,s7_h128,0.8706,0.6417,0.5942,0.6667,0.6581,270725,1.13,3.113,1.1,none,5
uci,transformer_lstm,s24_h32,0.8936,0.598,0.6011,0.5845,0.5374,35525,1.66,2.549,0.17,none,5
uci,transformer_lstm,s7_h32,0.8982,0.6801,0.568,0.6038,0.539,35525,1.65,1.591,0.17,none,5
uci,transformer_lstm,s7_h128,0.9158,0.6496,0.5509,0.6226,0.5884,547589,2.38,5.253,2.24,none,5
uci,cnn_bilstm,s24_h32,0.9434,0.6693,0.5554,0.5634,0.5072,18533,0.82,3.175,0.09,none,5
uci,lstm_cnn,s7_h128,0.9749,0.6732,0.4911,0.5786,0.5741,535301,1.93,4.485,2.16,none,5
uci,cnn_bilstm,s7_h32,1.0087,0.7691,0.4552,0.4969,0.3549,18533,1.34,1.408,0.09,none,5
uci,lstm_cnn,s7_h32,1.0461,0.8573,0.4141,0.5597,0.5374,35525,2.69,1.813,0.16,none,5
uci,lstm_cnn,s24_h128,1.0857,0.8346,0.4111,0.493,0.5067,535301,3.05,11.231,2.16,none,5
uci,convlstm_attention,s7_h128,1.132,0.8314,0.3139,0.5723,0.5554,363525,1.63,4.382,1.47,none,5
uci,convlstm_attention,s7_h32,1.1355,0.8858,0.3096,0.4151,0.3354,35205,1.07,1.584,0.16,none,5
uci,lstm_cnn,s24_h32,1.1751,0.9631,0.3102,0.4577,0.3556,35525,1.19,2.798,0.16,none,5
uci,lstm_attention,s7_h128,1.258,1.0138,0.1526,0.434,0.4079,226597,0.87,2.001,0.92,none,5
uci,lstm_attention,s7_h32,1.2664,1.0086,0.1412,0.3396,0.2667,16741,0.51,0.784,0.08,none,5
uci,lstm_attention,s24_h128,1.3207,1.0497,0.1287,0.3521,0.282,226597,1.68,5.973,0.92,none,5
uci,lstm_attention,s24_h32,1.3358,1.055,0.1086,0.3451,0.2426,16741,0.67,1.634,0.08,none,5
uci,convlstm_attention,s24_h128,1.3751,1.0854,0.0555,0.3099,0.2409,363525,2.82,9.913,1.47,none,5
uci,convlstm_attention,s24_h32,1.378,1.0939,0.0515,0.3732,0.2763,35205,1.4,3.84,0.16,none,5
