dataset,model,cfgid,epochs,params,train_time_s,inference_ms_per_batch,checkpoint_mb,test_rmse,test_mae,test_r2,test_accuracy,test_precision,test_recall,test_f1,detection,corrections
uci,lstm_cnn,s7_h32,5,35525,2.69,1.813,0.16,1.0461,0.8573,0.4141,0.5597,0.5434,0.5597,0.5374,none,0
uci,lstm_cnn,s7_h128,5,535301,1.93,4.485,2.16,0.9749,0.6732,0.4911,0.5786,0.5962,0.5786,0.5741,none,0
uci,lstm_cnn,s24_h32,5,35525,1.19,2.798,0.16,1.1751,0.9631,0.3102,0.4577,0.3875,0.4577,0.3556,none,0
uci,lstm_cnn,s24_h128,5,535301,3.05,11.231,2.16,1.0857,0.8346,0.4111,0.493,0.5733,0.493,0.5067,none,0
uci,cnn_bilstm,s7_h32,5,18533,1.34,1.408,0.09,1.0087,0.7691,0.4552,0.4969,0.5295,0.4969,0.3549,none,0
uci,cnn_bilstm,s7_h128,5,270725,1.13,3.113,1.1,0.8706,0.6417,0.5942,0.6667,0.6631,0.6667,0.6581,none,0
uci,cnn_bilstm,s24_h32,5,18533,0.82,3.175,0.09,0.9434,0.6693,0.5554,0.5634,0.5703,0.5634,0.5072,none,0
uci,cnn_bilstm,s24_h128,5,270725,2.02,8.194,1.1,0.7975,0.5746,0.6823,0.5915,0.5749,0.5915,0.5116,none,0
uci,lstm_attention,s7_h32,5,16741,0.51,0.784,0.08,1.2664,1.0086,0.1412,0.3396,0.2281,0.3396,0.2667,none,0
uci,lstm_attention,s7_h128,5,226597,0.87,2.001,0.92,1.258,1.0138,0.1526,0.434,0.4018,0.434,0.4079,none,0
uci,lstm_attention,s24_h32,5,16741,0.67,1.634,0.08,1.3358,1.055,0.1086,0.3451,0.1871,0.3451,0.2426,none,0
uci,lstm_attention,s24_h128,5,226597,1.68,5.973,0.92,1.3207,1.0497,0.1287,0.3521,0.3099,0.3521,0.282,none,0
uci,transformer_lstm,s7_h32,5,35525,1.65,1.591,0.17,0.8982,0.6801,0.568,0.6038,0.609,0.6038,0.539,none,0
