location_id,city,country,distance_km,station_name,display_name
1285339,,,,SPARTAN - Abu Dhabi-1255560,SPARTAN - Abu Dhabi-1255560
362968,,,,Palm Jumeirah - Shoreline-373569,Palm Jumeirah - Shoreline-373569
369958,,,,,Station 369958
1212895,,,,EMC I Dock Sud-1214699,EMC I Dock Sud-1214699
1212896,,,,EMC II La Matanza-1214700,EMC II La Matanza-1214700
14,,,,SPARTAN - CITEDEF-14,SPARTAN - CITEDEF-14
269116,,,,AQI Near Tumo Center by FRANKYANTS.ORG-281412,AQI Near Tumo Center by FRANKYANTS.ORG-281412
1038477,Sydney,Australia,15.6,NSW DPE PA2 FLEX 29-1043041,Sydney (~15.6 km)
10476,,,,Le Fevre 2-10476,Le Fevre 2-10476
10478,,,,Netley-10478,Netley-10478
2162038,,,,,Station 2162038
2162039,,,,,Station 2162039
2162040,,,,,Station 2162040
353013,,,,,Station 353013
1235981,,,,,Station 1235981
2162123,,,,,Station 2162123
2162125,,,,,Station 2162125
1108678,,,,,Station 1108678
1112128,,,,BUET-1113954,BUET-1113954
1112291,,,,Dhonia outside-1114117,Dhonia outside-1114117
1664506,,,,Hristo Smirnenski-1634480,Hristo Smirnenski-1634480
2162110,,,,,Station 2162110
2162113,,,,,Station 2162113
1011825,,,,Jablanica-1019725,Jablanica-1019725
1585482,,,,Breka-1555458,Breka-1555458
1889458,,,,,Station 1889458
2457847,,,,,Station 2457847
2489658,,,,,Station 2489658
339851,,,,Pipiripi-350451,Pipiripi-350451
1136806,,,,FSP-USP-1138633,FSP-USP-1138633
1136807,,,,FSP-USP-1138634,FSP-USP-1138634
1163093,,,,,Station 1163093
1008841,,,,Riverdale-1018583,Riverdale-1018583
1037243,,,,,Station 1037243
1038388,,,,AQSU-VCH-NHMB-1042983,AQSU-VCH-NHMB-1042983
1459983,,,,,Station 1459983
2008229,,,,,Station 2008229
2162144,,,,,Station 2162144
10653,,,,Arica-10653,Arica-10653
10833,,,,Urmeneta - Plaza Centenario-10833,Urmeneta - Plaza Centenario-10833
1122574,,,,Estación centro-1124400,Estación centro-1124400
10001,,,,华电二区-10001,华电二区-10001
10002,,,,南充市委-10002,南充市委-10002
10007,,,,南城西平-10007,南城西平-10007
226762,,,,Douala 3 MAKEPE Rhône Poulenc-239058,Douala 3 MAKEPE Rhône Poulenc-239058
648077,,,,PAIR-10 LENDI-658679,PAIR-10 LENDI-658679
1732640,,,,,Station 1732640
1038083,,,,Parque San Antonio de Prado-1042776,Parque San Antonio de Prado-1042776
10493,,,,GIR-SOSN - _OFF-Girardota - S.O.S Aburrá Norte-10493,GIR-SOSN - _OFF-Girardota - S.O.S Aburrá Norte-10493
10500,,,,ITA-CONC - Itagüí - I.E. Concejo Municipal de Itagüí-10500,ITA-CONC - Itagüí - I.E. Concejo Municipal de Itagüí-10500
7077,,,,San Jose-7077,San Jose-7077
2162163,,,,,Station 2162163
663494,,,,,Station 663494
663495,,,,,Station 663495
1441613,,,,,Station 1441613
2162166,,,,,Station 2162166
2722,,,,Pribram-2722,Pribram-2722
1637421,,,,Rheintalstraße-1607396,Rheintalstraße-1607396
1688697,,,,,Station 1688697
2031519,,,,,Station 2031519
2712073,,,,,Station 2712073
2951,,,,Copenhagen/1103-2951,Copenhagen/1103-2951
419925,,,,Kløvertoften Skovlunde-430525,Kløvertoften Skovlunde-430525
232326,,,,Panorama-244622,Panorama-244622
277467,,,,,Station 277467
337324,,,,El Recreo-347922,El Recreo-347922
235029,,,,Kazım Orbay Caddesi-247325,Kazım Orbay Caddesi-247325
268244,,,,Yalı Mahallesi-280540,Yalı Mahallesi-280540
352828,,,,,Station 352828
1334443,,,,,Station 1334443
1402536,,,,La Nou de Bergueda-1372598,La Nou de Bergueda-1372598
2162239,,,,,Station 2162239
1174078,,,,,Station 1174078
223524,,,,,Station 223524
224840,,,,AQN1-237136,AQN1-237136
2162536,,,,,Station 2162536
2162537,,,,,Station 2162537
2162543,,,,,Station 2162543
